case,city,birth_date,birth_time,pID,promissor,asp,sID,significator,astro_arc,horosa_arc,arc_abs_err,astro_dirJD,horosa_dirJD,date_abs_err_days,astro_date,horosa_date,prom_key,sig_key
case_0001,,2006-10-04,09:58:00.000,1,Moon,180.0,3,Venus,34.770212483893204,34.77021101088346,1.4730097461779224e-06,2466712.7095010653,2466712.7089634165,0.0005376487970352173,7/12/2041 5:2:0,2041-07-12 05:00:54,N_Moon_180,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-120.0,4,Mars,-10.016752921223315,-10.016754267961915,1.346738599750097e-06,2457671.696760691,2457671.6972522503,0.0004915595054626465,10/10/2016 4:43:0,2016-10-10 04:44:02,D_Moon_120,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-90.0,4,Mars,-39.737851224571756,-39.73785267145362,1.446881867650518e-06,2468526.897641413,2468526.898169525,0.0005281120538711548,6/30/2046 9:33:0,2046-06-30 09:33:21,D_Moon_90,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,4,Mars,-71.80481524227108,-71.80481675415845,1.5118873761821305e-06,2480239.339507873,2480239.340059712,0.000551838893443346,7/24/2078 20:9:0,2078-07-24 20:09:41,D_Moon_60,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,180.0,4,Mars,45.81614050903917,45.81613915002484,1.3590143339570204e-06,2470746.4732302437,2470747.2888733535,0.8156431098468602,7/27/2052 23:21:0,2052-07-28 18:55:58,N_Moon_180,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-120.0,5,Jupiter,21.052722835804076,21.052718998947142,3.836856933503441e-06,2461701.8257795125,2461701.877098059,0.051318546291440725,10/23/2027 7:49:0,2027-10-23 09:03:00,D_Moon_120,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-90.0,5,Jupiter,-8.668375467544365,-8.668379404544567,3.937000201403862e-06,2457179.2073655655,2457178.540427103,0.6669384622946382,6/5/2015 16:59:0,2015-06-05 00:58:13,D_Moon_90,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,5,Jupiter,-40.735339485243685,-40.735343487249395,4.0020057099354744e-06,2468891.7161960434,2468890.9823172903,0.7338787531480193,6/30/2047 5:11:0,2047-06-29 11:34:32,D_Moon_60,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,180.0,5,Jupiter,76.88561626606656,76.8856124169339,3.849132667710364e-06,2482094.8318815585,2482094.830476625,0.0014049336314201355,8/23/2083 7:58:0,2083-08-23 07:55:53,N_Moon_180,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-120.0,6,Saturn,-61.46239776571673,-61.462363094699555,3.467101717546939e-05,2476461.3571289307,2476461.8068371043,0.44970817351713777,3/20/2068 20:34:0,2068-03-21 07:21:50,D_Moon_120,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-90.0,6,Saturn,-91.18349606906517,-91.18346149819126,3.4570873907568966e-05,2487317.558009653,2487317.545391284,0.012618368957191706,12/10/2097 1:24:0,2097-12-10 01:05:21,D_Moon_90,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,90.0,6,Saturn,88.8165039309348,88.81653850180874,3.4570873935990676e-05,2486453.4223831664,2486452.6184976045,0.8038855618797243,7/29/2095 22:8:0,2095-07-29 02:50:38,S_Moon_90,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,120.0,6,Saturn,56.749539913235495,56.74957441910385,3.450586835640479e-05,2474740.9135526884,2474740.176607417,0.7369452714920044,7/5/2063 9:56:0,2063-07-04 16:14:18,S_Moon_120,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,180.0,6,Saturn,-5.629504335454243,-5.629469676712802,3.4658741441262464e-05,2456068.351026885,2456068.967846121,0.6168192359618843,5/20/2012 20:25:0,2012-05-21 11:13:42,N_Moon_180,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,7,Uranus,75.7952904560899,75.79525959235679,3.086373311589341e-05,2481696.862960917,2481696.8516956544,0.011265262495726347,7/21/2082 8:43:0,2082-07-21 08:26:26,D_Moon_60,N_Uranus_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,0.0,7,Uranus,13.41624620740015,13.416215496540133,3.071086001682488e-05,2458912.5118101453,2458912.916816178,0.4050060324370861,3/4/2020 0:17:0,2020-03-04 10:00:13,N_Moon_0,N_Uranus_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-90.0,8,Neptune,84.18277648855366,84.18277910095776,2.61240410281971e-06,2484760.2953627664,2484760.296316294,0.0009535276331007481,12/9/2090 19:5:0,2090-12-09 19:06:41,D_Moon_90,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,8,Neptune,52.11581247085434,52.11581501825293,2.5473985942880972e-06,2473047.853496306,2473047.8544261064,0.0009298003278672695,11/15/2058 8:29:0,2058-11-15 08:30:22,D_Moon_60,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,0.0,8,Neptune,-10.263231777835415,-10.263229077563722,2.700271693356626e-06,2457761.6615433544,2457761.660557755,0.0009855995886027813,1/8/2017 3:53:0,2017-01-08 03:51:11,N_Moon_0,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-120.0,9,Pluto,58.2963811059964,58.29636612542501,1.4980571393152786e-05,2475305.761048133,2475305.7555802246,0.0054679084569215775,1/20/2065 6:16:0,2065-01-20 06:08:02,D_Moon_120,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-90.0,9,Pluto,28.575282802647962,28.5752677219333,1.5080714661053207e-05,2464449.560167411,2464449.55466295,0.005504461005330086,5/2/2035 1:27:0,2035-05-02 01:18:42,D_Moon_90,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,9,Pluto,-3.491681215051358,-3.4916963607715275,1.514572016958482e-05,2455288.045587938,2455288.0511161257,0.005528187844902277,4/1/2010 13:6:0,2010-04-01 13:13:36,D_Moon_60,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,0.0,9,Pluto,-65.87072546374111,-65.87074045658818,1.499284707051629e-05,2478072.2674641735,2478072.2729515554,0.0054873819462955,8/17/2072 18:25:0,2072-08-17 18:33:03,N_Moon_0,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,-60.0,10,North Node,88.11054383126498,88.11065552357132,0.00011169230634777705,2486195.0409866874,2486194.9712105477,0.06977613968774676,11/13/2094 12:59:0,2094-11-13 11:18:32,D_Moon_60,N_North Node_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,0.0,10,North Node,25.731499582575225,25.731599483470177,9.990089495204302e-05,2463410.579292084,2463411.347355394,0.7680633100681007,6/27/2032 1:54:0,2032-06-27 20:20:12,N_Moon_0,N_North Node_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,0.0,24,Asc,85.89463764217552,85.89486643116561,0.00022878899008560438,2485385.1246838383,2485386.1030582506,0.9783744122833014,8/25/2092 14:59:0,2092-08-26 14:28:24,N_Moon_0,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,60.0,24,Asc,31.07772820295284,31.078197327652532,0.00046912469969129234,2465364.030466725,2465364.1239690376,0.09350231243297458,11/1/2037 12:44:0,2037-11-01 14:58:30,D_Moon_60,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,90.0,24,Asc,-3.6593937584633807,-3.6593811063984845,1.265206489620141e-05,2455349.2606662833,2455349.25604828,0.004618003498762846,6/1/2010 18:15:0,2010-06-01 18:08:42,D_Moon_90,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,120.0,24,Asc,-39.24109765329524,-39.24142396949799,0.00032631620274514717,2468345.582587897,2468345.701693311,0.11910541402176023,12/31/2045 1:59:0,2045-12-31 04:50:26,D_Moon_120,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,90.0,25,MC,73.99602498402137,73.99593039847784,9.45855435361409e-05,2481039.131063612,2481040.092470287,0.9614066747017205,10/1/2080 15:9:0,2080-10-02 14:13:09,D_Moon_90,N_MC_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,120.0,25,MC,44.274926680672934,44.27483982153586,8.685913707040527e-05,2470183.93018289,2470183.8984793047,0.03170358529314399,1/12/2051 10:19:0,2051-01-12 09:33:48,D_Moon_120,N_MC_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,120.0,25,MC,-73.93701099827929,-73.93711060354725,9.960526796248814e-05,2481017.590958816,2481018.5644253427,0.9734665267169476,9/10/2080 2:11:0,2080-09-11 01:32:46,S_Moon_120,N_MC_0
case_0001,,2006-10-04,09:58:00.000,1,Moon,180.0,25,MC,-11.557966749589554,-11.558054563446092,8.78138565383324e-05,2458234.2398080444,2458234.271860102,0.032052057795226574,4/25/2018 17:45:0,2018-04-25 18:31:28,N_Moon_180,N_MC_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,-120.0,0,Sun,97.01562198743729,97.01562204264951,5.521222590232355e-08,2489446.283969859,2489446.299612054,0.015642195008695126,10/9/2103 18:49:0,2103-10-09 19:11:26,D_Mercury_120,N_Sun_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,-90.0,0,Sun,64.97093149508231,64.97093153091151,3.582920271583134e-08,2477742.971940149,2477742.9719532267,1.307763159275055e-05,9/23/2071 11:20:0,2071-09-23 11:19:36,D_Mercury_90,N_Sun_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,-60.0,0,Sun,35.283737233509186,35.28373724007531,6.566125421159086e-09,2466900.146034675,2466900.1460370715,2.3962929844856262e-06,1/15/2042 15:30:0,2042-01-15 15:30:17,D_Mercury_60,N_Sun_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,0.0,0,Sun,-20.553734824961538,-20.55373481420321,1.0758327562143677e-08,2461519.6951555554,2461519.6951516285,3.926921635866165e-06,4/24/2027 4:41:0,2027-04-24 04:41:00,N_Mercury_0,N_Sun_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,60.0,0,Sun,-82.98437801256273,-82.98437795735046,5.52122685348877e-08,2484322.87991903,2484322.8798988773,2.0152423530817032e-05,9/28/2089 9:7:0,2089-09-28 09:07:03,S_Mercury_60,N_Sun_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,60.0,1,Moon,58.023061908639306,58.02306579379308,3.88515377380827e-06,2475205.9995410973,2475206.000959179,0.0014180815778672695,10/12/2064 11:59:0,2064-10-12 12:01:22,S_Mercury_60,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,90.0,1,Moon,25.978371416284347,25.978375282055083,3.865770736410923e-06,2463500.687511388,2463501.667297676,0.9797862879931927,9/25/2032 4:30:0,2032-09-26 04:00:55,S_Mercury_90,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,120.0,1,Moon,-3.7088228452888075,-3.70881900878112,3.83650768753796e-06,2455367.3022829746,2455367.300882649,0.0014003254473209381,6/19/2010 19:15:0,2010-06-19 19:13:16,S_Mercury_120,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,2,Mercury,-120.0,3,Venus,91.92325704263364,91.92325708595871,4.332507330673252e-08,2487587.5707650054,2487587.5707808193,1.5813857316970825e-05,9/6/2098 1:42:0,2098-09-06 01:41:55,D_Mercury_120,N_Venus_0
