arc,conv,asp,pID,sID,dirDate,dirJD
-44.498281772239295,0,90.0,6,3,4/3/2051 22:55:0,2470265.4547913116
44.742433888731455,0,90.0,3,8,7/2/2051 1:41:0,2470354.5703138313
44.82017297087006,0,90.0,0,24,7/30/2051 10:41:0,2470382.9450788116
44.881268501097935,0,-120.0,7,9,8/21/2051 17:53:0,2470405.244947345
-45.050752698090555,0,120.0,0,28,10/22/2051 14:34:0,2470467.106679247
45.10164976882152,0,-180.0,8,3,11/10/2051 4:25:0,2470485.684110064
45.391218450961645,0,-60.0,4,3,2/23/2052 21:2:0,2470591.376679045
-45.49211123412684,0,0.0,0,6,3/31/2052 16:52:0,2470628.2025449006
-45.691414304914076,0,-90.0,1,0,6/12/2052 10:45:0,2470700.948165738
45.79501932929409,0,60.0,7,24,7/20/2052 6:20:0,2470738.7639996368
45.7986474029874,0,0.0,6,0,7/21/2052 14:7:0,2470740.0882465346
45.81614050903917,0,-180.0,1,4,7/27/2052 23:21:0,2470746.4732302437
-45.96133917519302,0,60.0,2,5,9/18/2052 23:18:0,2470799.47074339
-45.96576852075441,0,60.0,4,2,9/20/2052 14:6:0,2470801.0874545197
46.108670046734176,0,-60.0,10,7,11/12/2052 17:55:0,2470854.246511502
-46.28152685666038,0,-60.0,8,2,1/14/2053 20:9:0,2470917.339247125
-46.41233563327086,0,60.0,6,24,3/3/2053 14:2:0,2470965.084450588
46.72463627628264,0,-180.0,7,2,6/25/2053 13:47:0,2471079.0741852876
-46.804296868918044,0,60.0,3,4,7/24/2053 15:36:0,2471108.1503015994
46.889812780905004,0,60.0,2,8,8/24/2053 20:44:0,2471139.3636094746
47.31965844512426,0,0.0,6,28,1/29/2054 1:51:0,2471296.5769353597
-48.10871806736657,0,90.0,3,5,11/12/2054 18:20:0,2471584.264039033
48.17007595474547,0,-60.0,7,1,12/5/2054 3:50:0,2471606.6596679264
-48.23655496288606,0,-120.0,10,3,12/29/2054 10:11:0,2471630.924505898
48.329189334265465,0,-90.0,5,0,2/1/2055 5:40:0,2471664.736051451
48.80773725225015,0,120.0,3,10,7/25/2055 21:45:0,2471839.4060415155
